S.No.,State,City,Category,Alcohol,Hotel Name,Address,Total Rooms,Ratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Kerala,Thiruvananthapuram,2 Star,Without Alcohol,JEEVAN AYURVEDIC BEACH RESORT,LIGHT HOUSE BEACH  KOVALAM  VIZHINJAM P O,14,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Maharashtra,Kollhapur,2 Star,Without Alcohol,Hotel Vrishali Executive  A unit of Vrishali Hotels Pvt  Ltd  ,39 A 2  TARABAI PARK Kollhapur,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Maharashtra,SANTACURZ,2 Star,Without Alcohol,HOTEL AIRLINK,75 OFF NEHRU ROAD NEAR SANTACRUZ AIRPORT  VILE PARLE EAST   MUMBAI 400099 ,39,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Odisha,Sambalpur,2 Star,Without Alcohol,Welcome Spa and Resort,At Po  Majhilali  PS  Sasan  Sambalpur,41,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Rajasthan,Alwar,2 Star,Without Alcohol,SPARROW INN  A Unit of Alwar Hospitality Pvt  Ltd  ,MANU MARG  ALWAR Alwar,19,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Andhra Pradesh,East Godavari,3 Star,Without Alcohol,HOTEL SHELTON RAJAMAHENDRI,87 1 19B  AYYAPPA NAGAR  NEAR APSRTC COMPLEX ROAD  RAJAHMUNDRY ,97,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Andhra Pradesh,Kakinada,3 Star,Without Alcohol,Royal Park Sri Adilakshmi Property Developers Pvt  Ltd  ,Royal Park  Sri Adilakshmi Property Developers Pvt  Ltd   D No   19 1 107  Kosurivari Street  Kakinada 533001  East Godavari  Andhra Pradesh ,84,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Andhra Pradesh,Kurnool,3 Star,Without Alcohol,Triguna Clarks Inn,Adjacent to bus stand  Kallur Road,49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Andhra Pradesh,Nellore,3 Star,Without Alcohol,MINERVA GRAND   NELLORE,MINERVA GRAND   A UNIT OF SECUNDERABAD HOTELS PVT LTD  24 2 474 1  DARGAMITTA  G T ROAD  NELLORE  ANDHRA PRADESH   524 003 Nellore,106,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Andhra Pradesh,Rajahmundry,3 Star,Without Alcohol,La Hospin Hotel Rajahmundry  A unit of La Hospin Hotels and Resorts Private Limited ,NEAR PUSHKARGHAT  RAJAHMUNDRY Rajahmundry Rajahmundry,69,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Andhra Pradesh,Rajam,3 Star,Without Alcohol,River Bay Resort,D No 5 1 36  River Bay Road  Near ISKCON Temple  Gautama Ghat  Rajamahendravaram,68,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Andhra Pradesh,Tirupati,3 Star,Without Alcohol,BHIMAS RESIDENCY HOTEL  A UNIT OF BHIMAS RESIDENCY HOTELS PRIVATE LIMITED ,19 3 41  NEAR RAILWAY OVER BRIDGE  RENIGUNTA ROAD  TIRUPATI Tirupati Tirupati Tirupati,48,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Andhra Pradesh,Tirupati,3 Star,Without Alcohol,FORTUNE KENCES HOTEL,OPP  APS RTC BUS TERMINAL  TIRUPATI,126,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Andhra Pradesh,Tirupati,3 Star,Without Alcohol,Hotel Bliss,Door No 19 3 45  Ramanuja Circle Renigunta Road Tirupati Tirupati,92,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Andhra Pradesh,Tirupati,3 Star,Without Alcohol,Minerva Grand Tirupati,19 3 39  Renigunta Road  Nr Rly Flyover Bridge  Tirupati,69,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Andhra Pradesh,Vijayawada,3 Star,Without Alcohol,HOTEL AJANTHA EVERGREEN,D  NO  29 13 15  KALESHWAR RAO STREET  NAKKAL ROAD,36,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Andhra Pradesh,Vijayawada,3 Star,Without Alcohol,Hotel Manorama A Unit of Welcome Poorna Enterprises Private Limited ,27 37 157 M G Road Governor Pet ,70,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Andhra Pradesh,Vijayawada,3 Star,Without Alcohol,HOTEL MIDCITY,A Unit of Sri Venkateswara Theatre  38 8 45  M G Road  Punnammathota  Opp All India Radio Station  ,44,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Andhra Pradesh,Vijayawada,3 Star,Without Alcohol,THE KAY HOTEL,48 12 4 1 GUNADALA VIJAYAWADA ,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Andhra Pradesh,Visakhapatnam,3 Star,Without Alcohol,BEST WESTERN RAMACHANDRA,8 8 36 Main Road  Old Gajuwaka,64,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Andhra Pradesh,Visakhapatnam,3 Star,Without Alcohol,FAIRFIELD BY MARRIOTT,K S R DEVELOPERS PVT LTD  SURVEY NO 106 1B2 PART  WARD NO 39 MADHAVDHARA NEAR R B JUNCTION NH 5ROAD  VISAKHAPATNAM 530018,121,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Arunachal Pradesh,Itanagar,3 Star,Without Alcohol,Cygnett Inn Trendz,Chandra Nagar  Nrae DC Capital Complex Itanagar,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Arunachal Pradesh,Itanagar,3 Star,Without Alcohol,Waii International Hotel,Mesueme Colony  Near State Meuseum  Itanagar Papum Pare District ,50,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Arunachal Pradesh,West Kameng,3 Star,Without Alcohol,NORPHEL RETREAT DIRANG,Rungkhung Dirang  West Kameng District 790101 West Kameng,45,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Assam,Dibrugarh,3 Star,Without Alcohol,Hotel Rainbow ,T R Phukan Road  West chowkidinghee  Dibrugarh Dibrugarh,25,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Assam,Dibrugarh,3 Star,Without Alcohol,PUSHKARA GARDEN,Natun Gaon  Dibrugarh,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Assam,Guwahati,3 Star,Without Alcohol,DICHANG RESORT,Sonapur  Pathorkuchi  N H 37,57,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Assam,Guwahati,3 Star,Without Alcohol,HOTEL CITYWALK INTERNATIONAL,B BAROOAH ROAD  ULUBARI  GUWAHATI,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Assam,Guwahati,3 Star,Without Alcohol,Hotel Paramount Palacio,Opp Farm Gate  Above Poddar Car World  G S  Road  Khanapara  Guwahati Guwahati,25,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Assam,Guwahati,3 Star,Without Alcohol,Mayflower Hotel  A Unit of Mayflower Hotels and Resorts LLP ,MLN ROAD PANBAZAR Guwahati,36,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Assam,Guwahati,3 Star,Without Alcohol,The Lily Hotel,G S  ROAD  SIX MILE   KHANAPARA  GUWAHATI,78,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Assam,Jorhat,3 Star,Without Alcohol,Gulmohar Grand  an Unit of Borthakur Developers ,Choladhara Road  Jorhat 785001  Assam,26,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Assam,Kokrajhar,3 Star,Without Alcohol,HOTEL GAURANG VALLEY,J D  ROAD  TENGAPARA  WARD NO  5  KOKRAJHAR,62,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Assam,Mangaldoi,3 Star,Without Alcohol,Repose Highway Resort  A unit of Repose Highway Resort Private Limited ,Vill Boinaojha  Aulachowka  P O    P S  Magnaldoi  Discrict   Darrang Mangaldoi,20,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Assam,Nagaon,3 Star,Without Alcohol,HOTEL BLUE BIRD,MADHAB DEV ROAD  NORTH HAIBARGAON,22,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
